,n,hr,hr_lower,hr_upper,p,msi_hr,msi_p
GSE39582_base,572.0,2.2461105869745146,1.6673183620279994,3.025824511872243,1.0237777765247008e-07,,
GSE39582_plus_MSI,572.0,2.2495897962680518,1.6688430387976474,3.03243272963489,1.0301986866126338e-07,1.0406569180718643,0.8721521849015414
TCGA_base,354.0,1.4503912951842723,1.0230776360835865,2.0561830646588795,0.03678996849943463,,
TCGA_plus_MSI_penalized,83.0,1.1890547258192696,0.6353111243722274,2.2254468507697127,0.5881926798079993,0.36103043145388336,0.17890417126485778
