model,hr,lo,hi,p
fixed_effect,1.9887623885963976,1.619795804120231,2.4417743447877656,5.1516568788656514e-11
random_effects,2.0119135973990407,1.430200238502401,2.8302304911078036,5.944380059275112e-05
