covariate,coef,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
ARGscore,0.8092000924035632,2.2461105869745146,1.667318362027999,3.025824511872243,1.02377777652471e-07
age,0.031174657838286168,1.0316656766486896,1.0190748620136545,1.044412052586513,6.494679853239178e-07
gender_male,0.35216559167529055,1.4221439994290006,1.0604145547705428,1.9072668759714917,0.01868876605491478
stage_num,0.7074302652085174,2.028771150563111,1.6521936479686576,2.4911803688493843,1.4497065645738362e-11
