cohort,n,median_cutoff,median_n_high,median_hr,median_hr_lo,median_hr_hi,median_p,optimal_cutoff,optimal_n_high,optimal_hr,optimal_hr_lo,optimal_hr_hi,optimal_p
GSE39582,579,1.9872721750194,289,1.9769307451232785,1.476531179762446,2.646916790231593,4.716348621034633e-06,2.1069348658491474,231,2.1503087393438802,1.6200320143096452,2.8541582102431775,1.1626595640297323e-07
GSE17536,177,2.392310825130199,88,1.4554074000904795,0.9147015620907424,2.3157396773178283,0.11325811558473917,2.8883630750609237,31,2.7416186621000755,1.655800006339318,4.5394811327444105,8.854678615654877e-05
TCGA-COAD/READ,376,2.628336935,188,2.5258805801848934,1.6080007501253353,3.9677050553974427,5.78391838001159e-05,2.6781818609798993,181,2.5654940889119553,1.6418476799055521,4.0087518475653,3.51465007966521e-05
