,Bcell_TLS,CD8T,Endothelial,Epithelial,Fibroblast,Macrophage_TAM,Pericyte
GSM971957,0.038417036450367675,0.09238408908002978,0.13393944038238342,0.41331708892093266,0.12553665115744697,0.09278407521950935,0.1036216187893301
GSM971958,0.04300478111689227,0.11122696080048534,0.23597032543954766,0.14379774719762906,0.1738513747988636,0.11336376451433632,0.17878504613224577
GSM971959,0.09922077941437668,0.06766694698099271,0.22915340487118133,0.45517546141361787,0.022805919671373888,0.0659610747469016,0.060016412901556106
GSM971960,0.18802101688488565,0.13832845413461586,0.08809620524192631,0.44680389060867454,0.0,0.06091683932264771,0.07783359380724984
GSM971961,0.046536185512240556,0.049794430506612995,0.09298746723483872,0.14245717808727998,0.2342030265445329,0.3763175993318847,0.057704112782610194
GSM971962,0.06697142154571306,0.08842627439886643,0.24414401733772975,0.14938827304660526,0.14121734185983612,0.09640029776556255,0.2134523740456869
GSM971963,0.10888272464581174,0.3179869329638797,0.10812645846033264,0.14596133912657194,0.04516838868846956,0.20864551773785675,0.06522863837707774
GSM971964,0.10958908813878639,0.10756386008657287,0.20611493281163873,0.422654311519641,0.014641410408897097,0.058687376132364605,0.08074902090209926
GSM971965,0.06927274743741846,0.07511060626732395,0.18987625054792379,0.3584593495325404,0.1114855066172769,0.06800913834083318,0.12778640125668347
GSM971966,0.05396710168909745,0.06357423131128852,0.14224318350119503,0.37687516095592627,0.171630204203373,0.10226970470260556,0.08944041363651418
GSM971967,0.06533238342914413,0.05393943257063348,0.20644932217134915,0.43623763137504834,0.058838880532347954,0.08526494239162785,0.09393740752984904
GSM971968,0.05451964675722308,0.08650682687818378,0.08572283952571437,0.30666645080610533,0.14989049895460116,0.2304977865304804,0.08619595054769183
GSM971969,0.18971015210277972,0.2206906916042417,0.0858671483829794,0.3283007545448257,0.03786006330764386,0.10423392700402567,0.033337263053503915
GSM971970,0.047840961640317016,0.0756023855182031,0.12102161148011333,0.5298005969969714,0.09120127304045446,0.051667721584449905,0.08286544973949084
GSM971971,0.0839487468100079,0.2456937055591598,0.09379890268388788,0.37055544902249477,0.0485168012519285,0.1126312600202133,0.04485513465230794
GSM971972,0.08341221341501578,0.14155106874148612,0.14968965507477588,0.28960001017083553,0.1627135470472277,0.06805148056678821,0.10498202498387071
GSM971973,0.06427902657170151,0.04418182651134233,0.07536532935652915,0.5726768813447062,0.11462707029233142,0.07570970010107965,0.053160165822309535
GSM971974,0.08504929071098105,0.1151915551041104,0.12919821685804414,0.34565265198253103,0.1655521906666369,0.043332053804746494,0.11602404087294987
GSM971975,0.12032740725304242,0.08963681727866782,0.09170894652320681,0.4754961650896209,0.08876594915727955,0.0846392086262696,0.04942550607191299
GSM971976,0.11410221618462191,0.05950791390727598,0.20674393590052895,0.4394256927269453,0.0,0.02401194211215083,0.1562082991684769
GSM971977,0.07578274011251587,0.10756065103612006,0.13287138980235103,0.29529652704000425,0.12065024836256356,0.15715320931743482,0.11068523432901037
GSM971978,0.09673527155134784,0.14834942000685072,0.11434963269087374,0.3990343909538569,0.09614730657771546,0.09496273182866208,0.050421246390693314
GSM971979,0.03351464563865885,0.017182272264450897,0.3535440756165529,0.37554327281042665,0.0843240423277081,0.057058545765241074,0.07883314557696154
GSM971980,0.09253334750548048,0.14314767335416095,0.13914577721016802,0.4610072869064347,0.027445076386299547,0.09370501392915223,0.043015824708304055
GSM971981,0.07179664949717413,0.1895340667853791,0.14142464755230627,0.18275383766180342,0.12978222075619678,0.2215153491793371,0.06319322856780314
GSM971982,0.036865270064891674,0.09794568638640029,0.11232431615801002,0.4280955329153192,0.12725562034569915,0.1344162180628223,0.0630973560668573
GSM971983,0.11449810642524394,0.1503600621988833,0.14597827511181757,0.29465531134606754,0.10176012190565173,0.12558382366819387,0.06716429934414196
GSM971984,0.05647421191343599,0.13594591627850297,0.10820921555761781,0.40749128341788854,0.1547901451958057,0.1091794663979509,0.02790976123879806
GSM971985,0.17293929409485437,0.17604375060423622,0.09762007266728726,0.4012434436148794,0.004758334710182393,0.07155901360428425,0.07583609070427623
GSM971986,0.21836983797337714,0.15809676847422402,0.1737272548570555,0.14929540704515132,0.06940851861210687,0.09428022122780186,0.13682199181028334
GSM971987,0.09835623665702525,0.1801528244852703,0.22213267759107372,0.16112177340723927,0.173819439072181,0.11604976067247595,0.04836728811473451
GSM971988,0.13480245996231513,0.07651981469061771,0.09230432421718215,0.526598033004699,0.10187573562243006,0.024825411386162583,0.04307422111659349
