covariate,coef,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
ARGscore,0.37183337877493433,1.450391295184272,1.0230776360835863,2.056183064658879,0.03678996849943466
age,0.04056226417627894,1.0413961493573225,1.0210024905691684,1.062197154182934,5.824951733029673e-05
gender_male,0.07374532913858091,1.0765326090958809,0.6812307025487686,1.7012187708375028,0.7521074753943289
stage_num,0.7769832551552018,2.17490123682906,1.633599377888812,2.8955663512027408,1.0319350283035689e-07
