cell,celltype,source
RHC5620__Tcell__#C6E879,Tcell,Tumor
RHC5622__Epithelial__#2749FE,Epithelial,Tumor
RHC5623__Epithelial__#2749FE,Epithelial,Tumor
RHC5624__Epithelial__#2749FE,Epithelial,Tumor
RHC5626__Epithelial__#2749FE,Epithelial,Tumor
RHC5627__Epithelial__#2749FE,Epithelial,Tumor
RHC5628__Epithelial__#2749FE,Epithelial,Tumor
RHC5629__Epithelial__#2749FE,Epithelial,Tumor
RHC5632__Epithelial__#2749FE,Epithelial,Tumor
RHC5633__Epithelial__#2749FE,Epithelial,Tumor
RHC5637__Epithelial__#2749FE,Epithelial,Tumor
RHC5643__Epithelial__#2749FE,Epithelial,Tumor
RHC5644__Epithelial__#2749FE,Epithelial,Tumor
RHC5646__Tcell__#C6E879,Tcell,Tumor
RHC5647__Epithelial__#2749FE,Epithelial,Tumor
RHC5658__Epithelial__#2749FE,Epithelial,Tumor
RHC5665__Epithelial__#2749FE,Epithelial,Tumor
RHC5666__Bcell__#7DEA7B,Bcell,Tumor
RHC5698__Epithelial__#2749FE,Epithelial,Tumor
RHC5699__Tcell__#C6E879,Tcell,Tumor
RHC5701__Epithelial__#2749FE,Epithelial,Tumor
RHC5702__Tcell__#C6E879,Tcell,Tumor
RHC5704__Epithelial__#2749FE,Epithelial,Tumor
RHC5707__Epithelial__#2749FE,Epithelial,Tumor
RHC5710__Epithelial__#2749FE,Epithelial,Tumor
RHC5711__Bcell__#7DEA7B,Bcell,Tumor
RHC5714__Epithelial__#2749FE,Epithelial,Tumor
RHC5716__Epithelial__#2749FE,Epithelial,Tumor
RHC5718__Tcell__#C6E879,Tcell,Tumor
RHC5764__Epithelial__#2749FE,Epithelial,Tumor
RHC5765__Epithelial__#2749FE,Epithelial,Tumor
RHC5768__Epithelial__#2749FE,Epithelial,Tumor
RHC5783__Epithelial__#2749FE,Epithelial,Tumor
RHC5790__Epithelial__#2749FE,Epithelial,Tumor
RHC5801__Tcell__#C6E879,Tcell,Tumor
RHC5808__Epithelial__#2749FE,Epithelial,Tumor
RHC5810__Tcell__#C6E879,Tcell,Tumor
RHC5811__Macrophage__#FFFF55,Macrophage,Tumor
RHC5814__Tcell__#C6E879,Tcell,Tumor
RHC5815__Epithelial__#2749FE,Epithelial,Tumor
RHC5816__Epithelial__#2749FE,Epithelial,Tumor
RHC5827__Tcell__#C6E879,Tcell,Tumor
RHC5831__Epithelial__#2749FE,Epithelial,Tumor
RHC5834__Macrophage__#FFFF55,Macrophage,Tumor
RHC5840__Epithelial__#2749FE,Epithelial,Tumor
RHC5879__Epithelial__#2749FE,Epithelial,Tumor
RHC5892__Endothelial__#908DE5,Endothelial,Tumor
RHC5896__Epithelial__#2749FE,Epithelial,Tumor
RHC5899__Fibroblast__#FB4E09,Fibroblast,Tumor
RHC5906__Epithelial__#2749FE,Epithelial,Tumor
RHC5908__Epithelial__#2749FE,Epithelial,Tumor
RHC5910__Tcell__#C6E879,Tcell,Tumor
RHC5930__Tcell__#C6E879,Tcell,Tumor
RHC5967__Tcell__#C6E879,Tcell,Tumor
RHC5982__Tcell__#C6E879,Tcell,Tumor
RHC5991__Fibroblast__#FB4E09,Fibroblast,Tumor
RHC5995__Tcell__#C6E879,Tcell,Tumor
RHC5999__Macrophage__#FFFF55,Macrophage,Tumor
RHC6004__Tcell__#C6E879,Tcell,Tumor
RHC6010__Tcell__#C6E879,Tcell,Tumor
RHC6022__Tcell__#C6E879,Tcell,Tumor
RHC6030__Fibroblast__#FB4E09,Fibroblast,Tumor
RHC6033__Macrophage__#FFFF55,Macrophage,Tumor
RHC6039__Tcell__#C6E879,Tcell,Tumor
RHC6041__Macrophage__#FFFF55,Macrophage,Tumor
