gene,n,n_probes,rho_avgmeth_vs_expr,p_avgmeth_vs_expr,rho_avgmeth_vs_ARGscore,p_avgmeth_vs_ARGscore,p_avgmeth_vs_expr_fdr
VSIG4,370,6,-0.07311829128791979,0.16044431055683342,0.05444104606854852,0.2962884239577345,0.20055538819604177
CXCL10,370,5,-0.4498698072447109,7.7859276649596e-20,0.04174646262670648,0.4233393720574461,3.8929638324798e-19
CXCL13,370,4,0.06421323055949404,0.21785240063856937,0.09354492671495229,0.07229961197550018,0.21785240063856937
MEIS2,370,65,0.3127734547013988,7.701480644033691e-10,0.07544101856112902,0.1475355668790218,1.2835801073389487e-09
ZNF532,370,19,-0.39995399246835867,1.2068143446858006e-15,-0.22514138655482255,1.2295074564222379e-05,3.0170358617145014e-15
