direction,sig_id,score
similar,LJP001_MDAMB231_24H:BRD-K51313569-001-03-7:2,0.109649122807018
similar,CPC010_MCF7_24H:BRD-K41845021-004-02-9:10,0.105263157894737
similar,CPC012_VCAP_24H:BRD-K61776140-001-01-5:10,0.105263157894737
similar,CPC010_PC3_24H:BRD-K99582188-001-04-0:10,0.105263157894737
similar,CPC017_MCF7_24H:BRD-K14821540-001-03-9:10,0.105263157894737
similar,CPC017_MCF7_24H:BRD-K05151076-001-01-8:10,0.105263157894737
similar,CPC019_PC3_24H:BRD-K07005393-001-01-0:10,0.105263157894737
similar,CPC019_PC3_24H:BRD-K43226598-001-01-1:10,0.105263157894737
similar,CPC006_VCAP_24H:BRD-K69932463-001-03-1:10,0.105263157894737
similar,CPC008_VCAP_24H:BRD-K74710236-001-04-8:10,0.100877192982456
similar,CPC006_VCAP_24H:BRD-K21672174-001-02-2:160,0.100877192982456
similar,CPC007_PC3_24H:BRD-K05153001-001-05-5:10,0.100877192982456
similar,CPC007_VCAP_24H:BRD-A43126523-001-06-4:10,0.100877192982456
similar,CPC006_VCAP_24H:BRD-K56301217-001-01-7:11.1,0.100877192982456
similar,CPC019_MCF7_24H:BRD-K49010888-001-01-2:10,0.100877192982456
similar,CPC005_MCF7_24H:BRD-K49294207-300-01-2:10,0.0964912280701754
similar,CPC007_VCAP_24H:BRD-A24021119-001-06-0:10,0.0964912280701754
similar,CPC002_HCC515_6H:BRD-K07762753-001-02-8:10,0.0964912280701754
similar,CPC013_VCAP_24H:BRD-K15600710-066-01-7:10,0.0964912280701754
similar,CPC010_VCAP_24H:BRD-K65955264-005-03-8:10,0.0964912280701754
similar,CPC004_VCAP_24H:BRD-A11678676-001-03-4:10,0.0964912280701754
similar,CPC016_A549_24H:BRD-K88677950-001-01-3:10,0.0964912280701754
similar,CPC010_MCF7_24H:BRD-K70977695-001-04-1:10,0.0964912280701754
similar,CPC002_PC3_24H:BRD-K07762753-001-02-8:10,0.0964912280701754
similar,CPC004_VCAP_24H:BRD-K35960502-001-10-1:10,0.0964912280701754
similar,CPC019_MCF7_24H:BRD-K34363599-001-02-0:10,0.0964912280701754
similar,CPC018_MCF7_24H:BRD-K67439147-001-01-7:10,0.0921052631578947
similar,CPC011_VCAP_24H:BRD-K79759031-001-05-4:10,0.0921052631578947
similar,CPC015_A549_24H:BRD-A58564983-001-03-8:10,0.0921052631578947
similar,CPC020_PC3_24H:BRD-K06750613-001-01-6:10,0.0921052631578947
similar,CPC008_VCAP_24H:BRD-K76907295-001-03-8:10,0.0921052631578947
similar,CPC005_MCF7_24H:BRD-K04210847-001-01-1:10,0.0921052631578947
similar,CPC019_PC3_24H:BRD-K86899078-001-01-2:10,0.0921052631578947
similar,CPC019_PC3_24H:BRD-A32595718-001-01-9:10,0.0921052631578947
similar,CPC008_MCF7_24H:BRD-K44432556-001-03-0:10,0.0921052631578947
