cohort,patient_set,n,hr,p
GSE39582,full,579,2.3281885516093115,5.562909836319609e-09
GSE39582,overlap_only,557,2.369383874584569,3.3861285938655204e-09
GSE17536,full,177,2.2549381142852827,0.0003287350289702832
GSE17536,overlap_only,177,2.2549381142852827,0.0003287350289702832
TCGA,full,376,1.741900472834149,0.000912053875441299
TCGA,overlap_only,288,1.5544447239936892,0.03002121166780032
