,CXCL13,VSIG4,CXCL10,MEIS2,FOXP3,ZNF532,CXCR5,CD4,CD8A,CD8B,MS4A1,Global_Cluster,Sub_Cluster
N_T_P0104_00040,0.0,0.0,0.0,3.506712181525764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00043,0.0,0.0,0.0,0.0,0.0,1.4815826449965825,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00044,0.0,0.0,0.0,0.0,0.0,2.7219395989735555,0.0,0.0,0.0,0.0,1.412390424389485,Epithelial cell,hE04_Goblet-REG4
N_T_P0104_00045,3.0776242707207904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE04_Goblet-REG4
N_T_P0104_00049,0.0,0.0,0.0,0.0,0.0,2.3210160401695514,2.2505642143846187,2.9464060428479812,0.0,0.0,0.0,Fibroblast,hF02_CAF-FAP
N_T_P0104_00050,0.0,0.0,0.0,1.5506765478470763,0.0,2.8307316882518485,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00051,0.0,0.0,0.0,1.9964578999609286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5243435678480008,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00056,0.0,0.0,0.0,0.0,0.0,2.796460423140491,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00057,0.0,0.0,0.0,2.0113715414622573,0.0,3.2034306054008663,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00060,0.0,0.0,0.0,0.0,0.0,2.008948293630804,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00061,0.0,0.0,0.0,0.0,0.0,3.0204836501561854,0.0,0.0,0.0,0.0,2.158024025004896,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8150016420183542,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00063,0.0,0.0,0.0,0.0,0.0,1.579584049023644,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.468041183991719,0.0,0.0,0.0,Fibroblast,hF02_CAF-FAP
N_T_P0104_00065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5466028585738958,Epithelial cell,hE06_UnIdent
N_T_P0104_00066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4515681487752854,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8574198916908744,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.270166321106947,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00072,0.0,0.0,0.0,0.0,0.0,3.0460888405383804,0.0,0.0,0.0,0.0,0.0,Fibroblast,hF02_CAF-FAP
N_T_P0104_00073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00074,0.0,0.0,0.0,2.179745002688354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE05_Stemlike-LGR5
N_T_P0104_00075,0.0,0.0,0.0,0.0,0.0,0.0,1.5643000080380363,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
