covariate,coef,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
ARGscore,0.9731477528359378,2.6462611390661603,1.6314817989306234,4.292231774036183,8.028367930214689e-05
age,0.030918292134574282,1.0314012268508779,1.0088272168095611,1.0544803639554365,0.0061751878339825995
gender_male,0.07100448670443008,1.0735860427208055,0.6534914479841533,1.7637369160382166,0.7792213612370817
stage_num,1.1646394491571157,3.204767193360047,2.3011379631865716,4.463240765197058,5.527668822081771e-12
