cohort,hr,lo,hi,log_hr,se,p
GSE39582 (n=579),2.2461105869745146,1.667318362027999,3.025824511872243,0.809200092403563,0.15203241216738908,1.02377777652471e-07
GSE17536 (n=177),2.6462611390661603,1.6314817989306234,4.292231774036183,0.9731477528359378,0.24676483259228094,8.028367930214689e-05
TCGA-COAD/READ (n=376),1.450391295184272,1.0230776360835865,2.056183064658879,0.3718333787749343,0.1780704102475508,0.0367899684994346
