sample,cnv,expr_log2,cohort
TCGA-EI-6917-01,0,9.88,READ
TCGA-EI-7002-01,-1,8.983,READ
TCGA-EI-7004-01,-1,10.72,READ
TCGA-F5-6464-01,0,10.5,READ
TCGA-F5-6465-01,-1,9.777,READ
TCGA-F5-6571-01,-1,9.277,READ
TCGA-F5-6702-01,-1,11.09,READ
TCGA-F5-6810-01,-1,9.759,READ
TCGA-F5-6811-01,-1,9.735,READ
TCGA-F5-6812-01,-1,9.663,READ
TCGA-F5-6813-01,-1,8.748,READ
TCGA-F5-6814-01,0,9.783,READ
TCGA-F5-6861-01,0,8.893,READ
TCGA-F5-6863-01,-1,9.544,READ
TCGA-F5-6864-01,-1,10.08,READ
TCGA-G5-6233-01,-1,8.555,READ
TCGA-G5-6235-01,-1,7.292,READ
TCGA-G5-6572-01,-1,8.923,READ
TCGA-G5-6641-01,-1,8.065,READ
