,Bcell_TLS,CD8T,Endothelial,Epithelial,Fibroblast,Macrophage_TAM,Pericyte
GSM437093,0.12479929086951183,0.15065996078640442,0.17312827200502515,0.3050566042530179,0.0892095265106188,0.10899565010487591,0.04815069547054598
GSM437094,0.19264594597848428,0.11714220157701172,0.24128115117049823,0.29787686281304576,0.03526683178415633,0.039754984935122806,0.07603202174168076
GSM437095,0.15197642727929908,0.1370948145491715,0.225389252272969,0.3458111063886907,0.02287671268624219,0.0376059468115977,0.07924574001202994
GSM437096,0.09358402151157957,0.041072069858235916,0.21767131674179255,0.4662788361387024,0.060264031915851994,0.03852732452591031,0.08260239930792732
GSM437097,0.08601725801784472,0.14122069025107176,0.11713022544903585,0.4066088616420403,0.07487706131882517,0.10829485585400954,0.0658510474671725
GSM437098,0.11221257253320538,0.14142499634692265,0.14179558077429488,0.2896570513269882,0.17515184817229035,0.0938038210385856,0.04595412980771279
GSM437099,0.1813197322257031,0.19685160568578874,0.13606876177161623,0.3853349748205465,0.0,0.08233661339921257,0.018088312097132873
GSM437100,0.1073783052786566,0.12279877655082072,0.2560121900535946,0.22069874854673874,0.09486690295267071,0.11393358633424562,0.0843114902832731
GSM437101,0.12025535317263818,0.22259081100099332,0.09492217209853629,0.4271987922208163,0.038983132093070416,0.05867638236758156,0.03737335704636377
GSM437102,0.06663330715220331,0.05172719780460631,0.07394256550529518,0.2523472838345992,0.27679491053224475,0.2712479418533472,0.007306793317704094
GSM437103,0.10295001991461358,0.10895044173583758,0.1474216241806312,0.3183779727022099,0.09027920236425171,0.16278825554031354,0.06923248356214254
GSM437104,0.13639203680016287,0.16154049979817614,0.11999153523333282,0.45290754140575457,0.05425474618972839,0.024947463860986042,0.04996617671185922
GSM437105,0.20428340020922592,0.16604018205808221,0.11547129523843896,0.3229217105436962,0.08488457556455964,0.09014779051449859,0.016251045871498507
GSM437106,0.16316506299913164,0.1441021231920034,0.14212800402046585,0.31953959353484845,0.13519214749061623,0.06531011360296995,0.030562955159964496
GSM437107,0.15827025679697931,0.09659834022181805,0.15275191813695913,0.4114257928584924,0.04247687706733689,0.08517146140819261,0.05330535351022144
GSM437108,0.15469829025604737,0.1750163749362996,0.14599916589684614,0.32289171288667406,0.07822391265882943,0.09495507514804935,0.02821546821725422
GSM437109,0.10536237388314579,0.14501735056136453,0.18726521175740427,0.21624641110375484,0.14073929540487828,0.181183974865681,0.024185382423771343
GSM437110,0.1887342979450675,0.19986528193872982,0.1535826930072211,0.25420922660357,0.09384813649219158,0.07505508008788131,0.0347052839253388
GSM437111,0.08688442641919585,0.07368423458335524,0.11533928058887556,0.34441751003813476,0.16029217946468624,0.13861981908612245,0.08076254981962985
GSM437112,0.05040035604490541,0.1474792129938143,0.09585144718518701,0.4365896244005782,0.12007907047726328,0.11645832995282195,0.03314195894542974
GSM437113,0.06097786099209847,0.15716790219750898,0.10723322293283516,0.33275185813394986,0.12919721599216866,0.13601360894425843,0.07665833080718043
GSM437114,0.10689441809922698,0.1054082616025501,0.09419147141651546,0.50035351156724,0.05734683087104061,0.07140543628370115,0.06440007015972582
GSM437115,0.1111907572148273,0.15032303975083758,0.13725664056180326,0.4151967491473106,0.026780086600459285,0.10560632773361839,0.05364639899114363
GSM437116,0.08971015662417427,0.17382706026310024,0.17979558986503866,0.20749540380177045,0.12840438239107668,0.18235149420056093,0.038415912854278894
