family,cohort,test,n,rho,pvalue,qvalue_fdr_bh,significant_raw_p05,significant_fdr_q05
C_vs_original_CIBERSORT,GSE39582,NNLS fraction | Macrophage_TAM vs CIBERSORT M1+M2 macrophages,557,0.4586572937746403,2.5166495258487715e-30,2.0762358588252363e-29,True,True
C_vs_original_CIBERSORT,GSE39582,NNLS fraction | CD8T vs CIBERSORT CD8 T cells,557,0.4482179409254267,7.030343876362326e-29,4.640026958399135e-28,True,True
C_vs_original_CIBERSORT,GSE39582,NNLS fraction | Bcell_TLS vs CIBERSORT naive+memory B cells,557,0.4849463798071568,3.3899770694689114e-34,5.5934621646237034e-33,True,True
C_vs_original_CIBERSORT,GSE17536,z-score module | Macrophage_TAM vs CIBERSORT M1+M2 macrophages,177,0.4694192448191686,4.374783621733979e-11,8.492227030424783e-11,True,True
C_vs_original_CIBERSORT,GSE17536,z-score module | Macrophage_TAM vs CIBERSORT M2 macrophages,177,0.3409319983055666,3.424680815332572e-06,4.520578676238995e-06,True,True
C_vs_original_CIBERSORT,GSE17536,z-score module | CD8T vs CIBERSORT CD8 T cells,177,0.5512069947754237,1.8649556402065197e-15,6.1543536126815146e-15,True,True
C_vs_original_CIBERSORT,GSE17536,z-score module | Bcell_TLS vs CIBERSORT naive+memory B cells,177,0.3269687309973095,8.915835363289074e-06,1.1316252576482286e-05,True,True
C_vs_original_CIBERSORT,GSE17536,z-score module | ARGscore vs CIBERSORT M1+M2 macrophages,177,-0.1039823583386714,0.1684101618510204,0.17927533358334427,False,False
C_vs_original_CIBERSORT,GSE17536,z-score module | ARGscore vs CIBERSORT M2 macrophages,177,0.3595345256393927,8.889511404370808e-07,1.2223078181009861e-06,True,True
C_vs_original_CIBERSORT,GSE17536,z-score module | ARGscore vs CIBERSORT CD8 T cells,177,-0.4238415755449666,4.143271702428394e-09,6.510855532387476e-09,True,True
C_vs_original_CIBERSORT,GSE17536,z-score module | ARGscore vs CIBERSORT naive+memory B cells,177,-0.0287673100520705,0.7038777364902729,0.7038777364902729,False,False
C_vs_original_CIBERSORT,GSE17536,NNLS fraction | Macrophage_TAM vs CIBERSORT M1+M2 macrophages,177,0.5182670833261197,1.487034019876953e-13,3.7747786658414965e-13,True,True
C_vs_original_CIBERSORT,GSE17536,NNLS fraction | CD8T vs CIBERSORT CD8 T cells,177,0.5136773264386143,2.638289293065301e-13,5.804236444743662e-13,True,True
C_vs_original_CIBERSORT,GSE17536,NNLS fraction | Bcell_TLS vs CIBERSORT naive+memory B cells,177,0.3895846453166212,8.338437996009727e-08,1.2507656994014593e-07,True,True
C_vs_original_CIBERSORT,TCGA,z-score module | Macrophage_TAM vs CIBERSORT M1+M2 macrophages,288,0.5733179211426321,1.4509151900056786e-26,6.840028752883913e-26,True,True
C_vs_original_CIBERSORT,TCGA,z-score module | Macrophage_TAM vs CIBERSORT M2 macrophages,288,0.4254148558924818,4.3578201509701696e-14,1.1984005415167965e-13,True,True
