sample,module,rho,p,n
GSM8265211_CTC21P,Pericyte,0.2629243909123568,5.273346800107805e-75,4690
GSM8265211_CTC21P,Endothelial,0.22142690490329797,3.48792846057068e-53,4690
GSM8265212_CTC21M,Pericyte,0.3203752722695729,2.03626941295705e-93,3884
GSM8265212_CTC21M,Endothelial,0.2202984063084797,6.696783757691744e-44,3884
GSM8265213_CTC17P,Pericyte,0.10011722491144746,9.329310636841743e-10,3721
GSM8265213_CTC17P,Endothelial,0.08265683334276787,4.440958830064607e-07,3721
GSM8265214_CTC17M,Pericyte,0.04221387999054292,0.0035904590544282434,4757
GSM8265214_CTC17M,Endothelial,0.024674901275573525,0.08881825301276886,4757
