cohort,n,score,spearman_rho,spearman_p
GSE39582,585,StromalSignature,0.39275963801187047,5.13264811186323e-23
GSE39582,585,ImmuneSignature,-0.02756083584780579,0.5058533246978604
GSE39582,585,ESTIMATEScore,0.20517915391448519,5.575880412488081e-07
GSE17536,177,StromalSignature,0.36464482955627503,6.044284010604322e-07
GSE17536,177,ImmuneSignature,-0.29748879001402334,5.789913659715613e-05
GSE17536,177,ESTIMATEScore,0.05951247381451153,0.43136972995261447
TCGA_COADREAD,380,StromalSignature,0.5357134343764591,1.3073158288185618e-29
TCGA_COADREAD,380,ImmuneSignature,0.11694176333776914,0.022611703727127407
TCGA_COADREAD,380,ESTIMATEScore,0.3689187962739208,1.0727410673252474e-13
