,ImmuneSignature,StromalSignature,ESTIMATEScore
GSM1681353,5564.243235444965,1842.4337812055219,7406.677016650487
GSM1681354,4838.62715728944,1997.600997549298,6836.228154838738
GSM1681355,3997.2005009565837,581.7698005153452,4578.970301471929
GSM1681356,4614.929522791419,2878.00684032732,7492.936363118739
GSM1681357,4708.958948917163,1052.323013882744,5761.281962799907
GSM1681358,5074.471626675089,2490.818231928002,7565.2898586030915
GSM1681359,6455.925987028582,2912.6992358994394,9368.625222928022
GSM1681360,5820.029652179981,2561.4184218354912,8381.448074015472
GSM1681361,4719.34696873883,760.731505294556,5480.078474033386
GSM1681362,5714.220133330744,1584.584450241713,7298.804583572457
GSM1681363,4845.150678172386,1205.6839086375749,6050.8345868099605
GSM1681364,3911.534421593895,813.7836392204863,4725.318060814381
GSM1681365,3073.6716229546782,-443.5516456651203,2630.119977289558
GSM1681366,4000.424595546863,885.1531012365576,4885.577696783421
GSM1681367,4924.585913553405,993.5948912164258,5918.1808047698305
GSM1681368,4582.2926468477035,1206.1627845256444,5788.455431373348
GSM1681369,5346.126552671019,1417.1252201076913,6763.251772778711
GSM1681370,5655.149018354279,741.1144618687249,6396.263480223004
GSM1681371,4336.107080037869,798.1685075521837,5134.275587590053
GSM971957,4535.565871948165,2707.8770423148,7243.442914262965
GSM971958,4960.235361189012,3846.8269145734284,8807.06227576244
GSM971959,2869.9756667018337,91.87927052503073,2961.8549372268644
GSM971960,3973.023223965203,161.35380698954577,4134.377030954749
GSM971961,6043.157448869999,4701.404911034544,10744.562359904543
GSM971962,6059.324159702406,5069.674552408251,11128.998712110657
GSM971963,8004.071547949174,3597.096762455736,11601.16831040491
GSM971964,3982.9654837374746,897.8271815848984,4880.792665322373
GSM971965,3877.7623861466473,2204.47633166949,6082.238717816137
GSM971966,3943.075392709243,2473.819599321223,6416.894992030466
GSM971967,2777.130756237364,470.9726147103938,3248.103370947758
GSM971968,6042.876282306499,4060.487495731548,10103.363778038047
GSM971969,6192.795143251966,2080.4695915215034,8273.26473477347
GSM971970,2540.463087769498,342.1127726886825,2882.5758604581806
GSM971971,5959.783468036705,1769.020309525671,7728.803777562376
GSM971972,3919.01163836044,1842.8611048429302,5761.87274320337
GSM971973,2634.091588878593,451.9414474257428,3086.033036304336
GSM971974,3745.053196775547,1827.1154628862078,5572.168659661755
GSM971975,3976.1333149332313,626.0883044042075,4602.221619337439
GSM971976,2001.3377740840078,546.8484412161688,2548.1862153001766
GSM971977,5801.066124933073,3714.0725625518353,9515.138687484909
GSM971978,4906.11528624504,2098.19551371542,7004.31079996046
GSM971979,4559.195937692186,2303.466324660658,6862.662262352844
GSM971980,5796.166465734872,2152.8506557577202,7949.017121492592
GSM971981,5978.427936055687,3557.91269366312,9536.340629718807
GSM971982,6107.115705639413,3512.4141871499523,9619.529892789365
GSM971983,6573.825467126355,3457.84253648959,10031.668003615945
GSM971984,5430.450750277772,3016.532239265649,8446.982989543421
GSM971985,3939.9675649894507,45.779756122539766,3985.7473211119905
GSM971986,5119.069760390874,2926.780947918678,8045.850708309552
GSM971987,5854.533815719105,3920.3739486976447,9774.90776441675
GSM971988,3031.198213692107,1009.4278491258083,4040.626062817915
GSM971989,2518.3254171433528,-85.78607726552946,2432.5393398778233
GSM971990,5505.05674158749,1588.1946802620805,7093.251421849571
GSM971991,4449.074504826638,2869.167175235536,7318.241680062174
GSM971992,4023.83676272539,2.3028144843065093,4026.1395772096967
GSM971993,5049.927303516015,1809.512321838376,6859.439625354391
GSM971994,2861.828811385727,1763.2920558099559,4625.120867195683
GSM971995,4921.115480508122,2012.215366064258,6933.33084657238
GSM971996,6984.041881960551,5273.939272656353,12257.981154616904
GSM971997,7465.609984205928,2727.531009151189,10193.140993357118
GSM971998,4899.857498063895,2124.7051386072253,7024.56263667112
GSM971999,5838.131043454321,3016.502314481633,8854.633357935954
GSM972000,3511.9972505164005,2150.815138996206,5662.812389512606
GSM972001,4464.494793213431,417.50735387806344,4882.002147091494
GSM972002,3354.8632937463462,1145.5231821280413,4500.3864758743875
GSM972003,3054.1727276841884,93.95939253977122,3148.1321202239596
GSM972004,3757.080018843668,1154.1587172878808,4911.238736131549
GSM972005,902.409034918257,-2636.2081169020967,-1733.7990819838396
GSM972006,4506.862801631423,2958.302498581128,7465.165300212551
GSM972007,5680.304950186062,4196.68335428775,9876.988304473813
GSM972008,5357.9650608134725,3409.5637395846898,8767.528800398162
GSM972009,4346.7875773934575,2473.93778750242,6820.725364895878
GSM972010,4713.003094300662,3062.3831812868902,7775.3862755875525
GSM972011,5449.631075255957,5314.044273314046,10763.675348570003
GSM972012,3533.963313170505,52.238814608657776,3586.2021277791628
GSM972013,2428.6934359695497,2052.5170789340245,4481.210514903574
GSM972014,2589.6028969698127,1131.2716923026,3720.874589272413
GSM972015,3357.939484145276,1031.5103931275808,4389.449877272857
GSM972016,4383.278175697911,2172.3365916067814,6555.614767304693
GSM972017,4547.057117924533,1839.1302874050125,6386.187405329545
GSM972018,5603.46585374799,2834.5885348992524,8438.054388647242
GSM972019,6304.313900983896,3733.783184222939,10038.097085206835
GSM972020,4690.815091504315,2433.45040151817,7124.265493022485
GSM972021,2349.5738403106006,149.81615432042418,2499.389994631025
GSM972022,4500.231647606897,1968.4708027941651,6468.702450401062
GSM972023,3872.0173086716386,1622.756256116414,5494.773564788053
GSM972024,2552.726371764851,-122.25570871583295,2430.470663049018
GSM972025,4121.066816298344,1423.7747822907604,5544.841598589104
GSM972026,5426.785804986968,3711.3461082955982,9138.131913282567
GSM972027,2169.094764067946,450.21194467121495,2619.306708739161
GSM972028,5149.499539088865,1799.2355380850277,6948.735077173893
GSM972029,4170.619169895112,3101.651016576294,7272.270186471405
GSM972030,4009.83328666703,3403.5116224583653,7413.344909125395
GSM972031,3120.6689763731265,2088.277232392282,5208.946208765408
GSM972032,3540.6304575210743,1624.6644914937478,5165.294949014822
GSM972033,1574.6113517969588,-1559.589926799963,15.021424996995847
GSM972034,2502.571447818631,-699.0636716802546,1803.5077761383764
GSM972035,1945.8533011649306,-874.2987448344193,1071.5545563305113
GSM972036,3111.5330957622446,742.0749414931179,3853.6080372553624
GSM972037,3400.9338718402123,-472.01774994859625,2928.916121891616
GSM972038,3164.717993345401,507.04170197202257,3671.7596953174234
GSM972039,5595.001974344685,4315.418781800048,9910.420756144733
GSM972040,3309.4131520171286,1138.583721435778,4447.996873452907
GSM972041,2785.062221036036,1707.1377552131835,4492.19997624922
GSM972042,4023.77920167493,276.78827315656963,4300.5674748315
GSM972043,2640.353464290558,1143.0268804264597,3783.3803447170176
GSM972044,2038.0861420159763,-1673.4382233133128,364.64791870266345
GSM972045,2665.23721789525,116.05180464541627,2781.2890225406663
GSM972046,5806.812489919774,3298.15383618556,9104.966326105334
GSM972047,2625.215399059056,1887.3265984847021,4512.541997543758
GSM972048,2770.700200380299,788.6363467361261,3559.336547116425
GSM972049,2027.6199866570278,-558.1779677569848,1469.442018900043
GSM972050,3612.202255278926,11.879039405470394,3624.081294684396
GSM972051,4094.907559057714,4198.728251670715,8293.635810728429
GSM972052,3548.249121675224,2041.2610989262648,5589.510220601489
GSM972053,1894.2933091536997,-89.22346487525647,1805.0698442784433
GSM972054,5394.0642602615935,3936.978169253476,9331.04242951507
GSM972055,4769.827370596895,2316.200915117379,7086.028285714274
GSM972056,3707.9969967465095,1027.2888478764598,4735.285844622969
GSM972057,3452.843026670971,582.591896220958,4035.434922891929
GSM972058,6324.394755522186,3268.366045998493,9592.760801520679
GSM972059,6249.724888819344,3541.248900393264,9790.973789212609
GSM972060,4980.093618559318,2587.6523281773516,7567.74594673667
GSM972061,3888.459030342927,1260.4109160757343,5148.869946418661
GSM972062,4337.001783189638,2072.8423847594167,6409.844167949055
GSM972063,5182.974583474805,3461.824681293014,8644.799264767818
GSM972064,5911.485784873501,3933.298981479211,9844.784766352712
GSM972065,4703.163519907888,2671.71921825589,7374.882738163778
GSM972066,4934.267283319736,2165.1057236884226,7099.373007008158
GSM972067,5080.644047494359,3583.4268712300636,8664.070918724423
GSM972068,6302.541050435406,5152.319993838479,11454.861044273885
GSM972069,3751.9924297037196,2544.70896780578,6296.7013975095
GSM972070,4960.927485378914,2068.228144930603,7029.155630309517
GSM972071,4008.3824678065066,2792.172978688155,6800.555446494662
GSM972072,6385.257294488476,3924.633743593633,10309.891038082109
GSM972073,5948.274481785558,4069.2773091100935,10017.551790895652
GSM972074,5102.812596533959,2025.355969283397,7128.168565817356
GSM972075,5070.576123995155,2126.2288921127874,7196.805016107943
GSM972076,5779.447833419585,3456.2316445686465,9235.679477988231
GSM972077,5271.993296888151,3117.058294193601,8389.051591081752
GSM972078,4196.289218631284,3326.489110861974,7522.778329493258
GSM972079,6094.666850866557,3521.93629976581,9616.603150632367
GSM972080,4468.1278003839725,2398.5790391689516,6866.706839552924
GSM972081,4024.051724980194,2066.120122063321,6090.171847043515
GSM972082,5460.825700493724,4391.44587660767,9852.271577101394
GSM972083,5281.680795884489,2632.2453457976917,7913.926141682181
GSM972084,6116.967897978446,3409.227882889427,9526.195780867873
GSM972085,5199.1016889676575,2471.2731550605913,7670.374844028249
GSM972086,3011.733009670528,1127.2721823062893,4139.0051919768175
GSM972087,4576.661421630652,183.0728277575672,4759.734249388219
GSM972088,5455.641019935523,3129.8281918954,8585.469211830923
GSM972089,5095.673889683185,3941.720052591845,9037.39394227503
GSM972090,1678.0229538920685,-892.1336524493126,785.8893014427558
GSM972091,3067.1445706594004,-834.4400788374332,2232.704491821967
GSM972092,4905.52934607671,3753.7892682333204,8659.31861431003
GSM972093,3999.4125872616314,3415.9853863355875,7415.397973597219
GSM972094,5307.596257720541,3089.1034694290593,8396.6997271496
GSM972095,4136.668064754851,2996.5833454845906,7133.251410239442
GSM972096,1387.195315751118,-1336.1851741213159,51.01014162980209
GSM972097,4345.781622025217,3907.1424067575226,8252.92402878274
GSM972098,2426.7351772554393,-804.1456403340799,1622.5895369213595
GSM972099,2555.044903904769,101.91067730838222,2656.955581213151
