gene,n_mut_samples,n_mut,mut_freq,n_cnv_samples,n_amp,amp_freq,n_del,del_freq,n_deep_amp,n_deep_del,cna_freq
VSIG4,380,3,0.7894736842105263,616,105,17.045454545454543,88,14.285714285714285,2,2,31.331168831168828
CXCL10,380,1,0.2631578947368421,616,30,4.870129870129871,187,30.357142857142854,0,1,35.22727272727273
CXCL13,380,1,0.2631578947368421,616,29,4.707792207792208,186,30.1948051948052,0,2,34.90259740259741
MEIS2,380,15,3.9473684210526314,616,18,2.922077922077922,253,41.07142857142857,0,7,43.993506493506494
ZNF532,380,12,3.1578947368421053,616,9,1.461038961038961,429,69.64285714285714,0,17,71.1038961038961
