cohort,module,n,rho_naive,p_naive,rho_partial_msi_adj,p_partial_msi_adj,rho_within_pMMR,p_within_pMMR,rho_within_dMMR,p_within_dMMR
GSE39582,Macrophage_TAM,536,0.22690798604481896,1.0935059120598005e-07,0.2639294261216239,5.416852396604567e-10,0.28955836748977165,2.5717566798985426e-10,0.1004258898995741,0.38483640180415024
GSE39582,CD8T,536,-0.263861551637209,5.474169838260405e-10,-0.2534656898767272,2.650131292569806e-09,-0.23418411095847738,3.889713974659529e-07,-0.4208686050791313,0.00013822048423784423
GSE39582,Bcell_TLS,536,-0.19066129697151998,8.803142875632366e-06,-0.18354593138832545,1.9040649880513493e-05,-0.13746002672950705,0.0031677494584838595,-0.4776802145223198,1.117728661346306e-05
TCGA-COAD/READ,Macrophage_TAM,85,0.4217705686925933,5.814517701836004e-05,0.4437561070940004,2.1019565210067344e-05,0.46110953058321474,3.1357842094429884e-05,0.35757575757575755,0.3103760917056799
TCGA-COAD/READ,CD8T,85,-0.11921047488762948,0.2771810821132988,-0.10652726206761774,0.33186924142653074,-0.027027027027027025,0.8179583757944934,-0.8787878787878788,0.0008138621117322101
TCGA-COAD/READ,Bcell_TLS,85,-0.12692984170412352,0.2470283207624643,-0.1169435215946844,0.28648489549003864,-0.05519203413940255,0.6381351877087298,-0.8181818181818182,0.0038149200825507135
